,ListNo,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
111,1367760,0.12,9.0,1,1,,40.77809,-111.871936,410000,1,2,Single Family,420000,2885,4.0,3.0,2611,1895
112,1365778,0.27,28.0,0,3,650.0,40.782183,-111.88055700000001,858000,0,0,Single Family,810000,7200,4.0,4.0,4312,1999
113,1365804,0.19,2.0,0,2,,40.773463,-111.86359499999999,459000,1,5,Single Family,467000,5382,3.0,3.0,2411,1906
114,1365661,0.12,3.0,1,0,,40.779806,-111.871499,360000,1,3,Single Family,360500,1380,3.0,2.0,2030,1908
115,1364945,0.05,4.0,16,0,,40.771984,-111.870275,234900,54,0,Single Family,240000,942,3.0,1.0,1310,1934
116,1364562,0.0,4.0,0,1,215.0,40.770832,-111.86409099999999,260000,1,2,Condo,280000,2023,2.0,1.0,848,1938
117,1364685,0.01,56.0,0,1,430.0,40.774001,-111.892032,259900,0,0,Condo,249800,2176,1.0,2.0,1200,1976
118,1363635,0.42,10.0,2,4,,40.784197,-111.851184,1300000,2,0,Single Family,1270000,7412,5.0,6.0,5446,2002
119,1363510,0.07,4.0,0,0,,40.777190000000004,-111.86984299999999,329900,0,0,Single Family,336400,2326,4.0,2.0,2158,1910
120,1362949,0.13,38.0,0,2,,40.771195,-111.850002,879900,1,0,Single Family,829350,6624,4.0,3.0,2837,1926
121,1363072,0.14,6.0,1,0,,40.776429,-111.87420900000001,250000,0,4,Single Family,222000,1998,2.0,1.0,1191,1940
122,1363132,0.26,10.0,1,2,,40.775689,-111.84881999999999,898000,1,1,Single Family,819500,5500,6.0,3.0,3888,1976
123,1363787,0.0,29.0,1,0,100.0,40.783421000000004,-111.898053,122500,0,0,Condo,126100,910,1.0,1.0,612,1961
124,1363810,0.0,24.0,1,0,100.0,40.783421000000004,-111.898053,126500,0,0,Condo,126500,910,1.0,1.0,612,1961
