,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
145,0.59,129.0,0,3,,40.773841,-111.840926,1295000,1,3,Single Family,1195000,10860,9.0,9.0,"11,193",1984
146,0.13,15.0,1,2,,40.770568,-111.871926,659000,2,0,Single Family,656000,2792,4.0,4.0,"4,370",1909
147,0.16,7.0,0,2,,40.782798,-111.87423799999999,409000,3,0,Single Family,397000,3200,3.0,2.0,"2,180",1937
148,0.0,7.0,1,1,338.0,40.775833,-111.89374299999999,165000,0,2,Condo,165000,1029,2.0,2.0,"1,087",1963
149,0.01,6.0,0,0,350.0,40.77149,-111.88166299999999,120000,0,0,Condo,114000,837,1.0,1.0,500,1928
150,0.01,9.0,1,0,236.0,40.778849,-111.89394399999999,99988,0,0,Condo,98550,776,1.0,1.0,677,1972
151,0.12,42.0,1,1,,40.78218,-111.87657800000001,275000,1,0,Single Family,255000,1958,2.0,1.0,892,1923
152,9.67,49.0,2,6,,40.776195,-111.84068400000001,3500000,1,0,Single Family,2600000,1,3.0,6.0,"14,003",1978
153,0.01,50.0,2,2,402.0,40.77466,-111.893152,390000,0,0,Condo,375000,1657,2.0,2.0,"1,270",1976
154,0.01,196.0,0,1,528.0,40.771963,-111.88668799999999,299900,0,0,Condo,267000,1897,2.0,2.0,"1,167",1976
155,0.17,100.0,0,3,,40.769467999999996,-111.849659,949000,1,0,Single Family,920000,9205,4.0,5.0,"4,403",1922
156,0.14,30.0,0,2,,40.772032,-111.869352,464900,1,2,Single Family,460000,2611,3.0,2.0,"2,665",1910
157,0.01,18.0,0,0,350.0,40.771457,-111.863767,134900,0,0,Condo,133900,978,1.0,1.0,600,1909
158,0.0,91.0,0,1,530.0,40.772271,-111.88640900000001,329000,1,1,Condo,322000,2106,2.0,2.0,"1,205",1978
159,0.11,26.0,0,2,,40.770839,-111.86321799999999,440000,0,0,Single Family,340000,2329,3.0,2.0,"2,672",1901
160,0.08,20.0,1,0,,40.776277,-111.87386799999999,279900,0,0,Single Family,269000,1966,2.0,1.0,"1,391",1900
161,0.69,138.0,1,3,,40.79011,-111.89274499999999,988000,1,0,Single Family,980000,8680,5.0,4.0,"4,037",1996
162,0.15,175.0,2,2,,40.770357000000004,-111.853224,960000,1,4,Single Family,890000,5392,5.0,4.0,"3,687",1906
